,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3772,"San Marcos, TX",San Marcos,TX,52927,San Marcos,1026765,Texas,TX,"Austin, TX",635
3773,"San Marino, CA",San Marino,CA,12808,San Marino,1014235,California,CA,"Los Angeles, CA",803
3774,"San Mateo, CA",San Mateo,CA,92256,San Mateo,1014237,California,CA,"San Francisco-Oakland-San Jose, CA",807
3775,"San Pablo, CA",San Pablo,CA,30729,San Pablo,1014239,California,CA,"San Francisco-Oakland-San Jose, CA",807
3776,"San Rafael, CA",San Rafael,CA,55602,San Rafael,1014242,California,CA,"San Francisco-Oakland-San Jose, CA",807
3777,"San Ramon, CA",San Ramon,CA,49161,San Ramon,1014243,California,CA,"San Francisco-Oakland-San Jose, CA",807
3778,"Sand Springs, OK",Sand Springs,OK,18489,Sand Springs,1024323,Oklahoma,OK,"Tulsa, OK",671
3779,"Sandersville, GA",Sandersville,GA,6219,Sandersville,1015498,Georgia,GA,"Macon, GA",503
3780,"Sandpoint, ID",Sandpoint,ID,8337,Sandpoint,1016231,Idaho,ID,"Spokane, WA",881
3781,"Sandusky, OH",Sandusky,OH,25688,Sandusky,1023978,Ohio,OH,"Cleveland-Akron (Canton), OH",510
3782,"Sandwich, IL",Sandwich,IL,7337,Sandwich,1016830,Illinois,IL,"Chicago, IL",602
3783,"Sandy Springs, GA",Sandy Springs,GA,82674,Sandy Springs,9052803,Georgia,GA,"Atlanta, GA",524
3784,"Sandy, OR",Sandy,OR,8823,Sandy,1024556,Oregon,OR,"Portland, OR",820
3785,"Sandy, UT",Sandy,UT,96660,Sandy,1026991,Utah,UT,"Salt Lake City, UT",770
3786,"Sanford, FL",Sanford,FL,50634,Sanford,1015190,Florida,FL,"Orlando-Daytona Beach-Melbourne, FL",534
3787,"Sanford, NC",Sanford,NC,29284,Sanford,1021302,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
3788,"Sanger, CA",Sanger,CA,25447,Sanger,1014246,California,CA,"Fresno-Visalia, CA",866
3789,"Sanger, TX",Sanger,TX,7766,Sanger,9052806,Texas,TX,"Dallas-Ft. Worth, TX",623
3790,"Sanibel, FL",Sanibel,FL,5645,Sanibel,1015191,Florida,FL,"Ft. Myers-Naples, FL",571
3791,"Santa Ana, CA",Santa Ana,CA,339130,Santa Ana,1014247,California,CA,"Los Angeles, CA",803
3792,"Santa Barbara, CA",Santa Barbara,CA,86093,Santa Barbara,1014248,California,CA,"Santa Barbara-Santa Maria-San Luis Obispo, CA",855
3793,"Santa Clara, CA",Santa Clara,CA,110200,Santa Clara,1014249,California,CA,"San Francisco-Oakland-San Jose, CA",807
3794,"Santa Clara, UT",Santa Clara,UT,6866,Santa Clara,1026992,Utah,UT,"Salt Lake City, UT",770
3795,"Santa Clarita, CA",Santa Clarita,CA,169500,Santa Clarita,1014250,California,CA,"Los Angeles, CA",803
3796,"Santa Cruz, CA",Santa Cruz,CA,56124,Santa Cruz,1014251,California,CA,"Monterey-Salinas, CA",828
3797,"Santa Fe Springs, CA",Santa Fe Springs,CA,17159,Santa Fe Springs,1014252,California,CA,"Los Angeles, CA",803
