,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
1,"Abbeville, LA",Abbeville,LA,12103,Abbeville,1017921,Louisiana,LA,"Lafayette, LA",642
2,"Abbeville, SC",Abbeville,SC,5547,Abbeville,1025495,South Carolina,SC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
3,"Aberdeen, MD",Aberdeen,MD,13993,Aberdeen,1018501,Maryland,MD,"Baltimore, MD",512
4,"Aberdeen, MS",Aberdeen,MS,6089,Aberdeen,1020692,Mississippi,MS,"Columbus-Tupelo-West Point, MS",673
5,"Aberdeen, NC",Aberdeen,NC,5627,Aberdeen,1020981,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
6,"Aberdeen, SD",Aberdeen,SD,24460,Aberdeen,1025688,South Dakota,SD,"Sioux Falls(Mitchell), SD",725
7,"Aberdeen, WA",Aberdeen,WA,16042,Aberdeen,1027494,Washington,WA,"Seattle-Tacoma, WA",819
8,"Abilene, KS",Abilene,KS,6400,Abilene,1017386,Kansas,KS,"Wichita-Hutchinson, KS",678
9,"Abilene, TX",Abilene,TX,116484,Abilene,1026170,Texas,TX,"Abilene-Sweetwater, TX",662
10,"Abingdon, VA",Abingdon,VA,8009,Abingdon,1027013,Virginia,VA,"Tri-Cities, TN-VA",531
11,"Absecon, NJ",Absecon,NJ,8389,Absecon,1021994,New Jersey,NJ,"Philadelphia, PA",504
12,"Acworth, GA",Acworth,GA,19476,Acworth,1015243,Georgia,GA,"Atlanta, GA",524
13,"Ada, OH",Ada,OH,6052,Ada,1023521,Ohio,OH,"Columbus, OH",535
14,"Ada, OK",Ada,OK,16729,Ada,1024110,Oklahoma,OK,"Sherman, TX-Ada, OK",657
15,"Adamsville, AL",Adamsville,AL,4739,Adamsville,1012928,Alabama,AL,"Birmingham, AL",630
16,"Addison, IL",Addison,IL,36917,Addison,1016250,Illinois,IL,"Chicago, IL",602
17,"Addison, TX",Addison,TX,14964,Addison,1026171,Texas,TX,"Dallas-Ft. Worth, TX",623
18,"Adel, GA",Adel,GA,5396,Adel,1015245,Georgia,GA,"Albany, GA",525
19,"Adel, IA",Adel,IA,4428,Adel,1015623,Iowa,IA,"Des Moines-Ames, IA",679
20,"Adelanto, CA",Adelanto,CA,28553,Adelanto,1013525,California,CA,"Los Angeles, CA",803
21,"Adrian, MI",Adrian,MI,21391,Adrian,1019113,Michigan,MI,"Toledo, OH",547
22,"Agawam, MA",Agawam,MA,28091,Agawam,1018091,Massachusetts,MA,"Springfield-Holyoke, MA",543
23,"Agoura Hills, CA",Agoura Hills,CA,22283,Agoura Hills,1013526,California,CA,"Los Angeles, CA",803
24,"Aiken, SC",Aiken,SC,29434,Aiken,1025496,South Carolina,SC,"Augusta, GA",520
25,"Airmont, NY",Airmont,NY,8339,Airmont,9051498,New York,NY,"New York, NY",501
26,"Airway Heights, WA",Airway Heights,WA,5289,Airway Heights,1027498,Washington,WA,"Spokane, WA",881
27,"Akron, OH",Akron,OH,207510,Akron,1023522,Ohio,OH,"Cleveland-Akron (Canton), OH",510
28,"Alabaster, AL",Alabaster,AL,29352,Alabaster,1012931,Alabama,AL,"Birmingham, AL",630
29,"Alachua, FL",Alachua,FL,9306,Alachua,1014942,Florida,FL,"Gainesville, FL",592
30,"Alameda, CA",Alameda,CA,70580,Alameda,1013527,California,CA,"San Francisco-Oakland-San Jose, CA",807
31,"Alamo Heights, TX",Alamo Heights,TX,7353,Alamo Heights,9051499,Texas,TX,"San Antonio, TX",641
32,"Alamo, TX",Alamo,TX,16608,Alamo,1026172,Texas,TX,"Harlingen-Weslaco-Brownsville-McAllen, TX",636
33,"Alamogordo, NM",Alamogordo,NM,35757,Alamogordo,1022493,New Mexico,NM,"Albuquerque-Santa Fe, NM",790
34,"Alamosa, CO",Alamosa,CO,8745,Alamosa,1014429,Colorado,CO,"Denver, CO",751
35,"Albany, CA",Albany,CA,16004,Albany,1013529,California,CA,"San Francisco-Oakland-San Jose, CA",807
36,"Albany, GA",Albany,GA,75831,Albany,1015247,Georgia,GA,"Albany, GA",525
37,"Albany, NY",Albany,NY,93539,Albany,1022672,New York,NY,"Albany-Schenectady-Troy, NY",532
38,"Albany, OR",Albany,OR,48081,Albany,1024386,Oregon,OR,"Portland, OR",820
39,"Albemarle, NC",Albemarle,NC,15522,Albemarle,1020984,North Carolina,NC,"Charlotte, NC",517
40,"Albert Lea, MN",Albert Lea,MN,17389,Albert Lea,1019680,Minnesota,MN,"Rochester, MN-Mason City, IA-Austin, MN",611
41,"Albertville, AL",Albertville,AL,19794,Albertville,1012932,Alabama,AL,"Huntsville-Decatur (Florence), AL",691
42,"Albertville, MN",Albertville,MN,6360,Albertville,1019682,Minnesota,MN,"Minneapolis-St. Paul, MN",613
43,"Albion, MI",Albion,MI,9103,Albion,1019116,Michigan,MI,"Grand Rapids-Kalamazoo-Battle Creek, MI",563
44,"Albion, NY",Albion,NY,5548,Albion,1022674,New York,NY,"Buffalo, NY",514
45,"Albuquerque, NM",Albuquerque,NM,521999,Albuquerque,1022494,New Mexico,NM,"Albuquerque-Santa Fe, NM",790
46,"Alcoa, TN",Alcoa,TN,8606,Alcoa,1025907,Tennessee,TN,"Knoxville, TN",557
47,"Alexander City, AL",Alexander City,AL,15080,Alexander City,1012933,Alabama,AL,"Montgomery (Selma), AL",698
48,"Alexandria, IN",Alexandria,IN,5854,Alexandria,1016980,Indiana,IN,"Indianapolis, IN",527
49,"Alexandria, KY",Alexandria,KY,8620,Alexandria,1017681,Kentucky,KY,"Cincinnati, OH",515
50,"Alexandria, LA",Alexandria,LA,48639,Alexandria,1017923,Louisiana,LA,"Alexandria, LA",644
51,"Alexandria, MN",Alexandria,MN,11237,Alexandria,1019684,Minnesota,MN,"Minneapolis-St. Paul, MN",613
52,"Alexandria, VA",Alexandria,VA,143885,Alexandria,1027019,Virginia,VA,"Washington, DC (Hagerstown, MD)",511
53,"Alfred, NY",Alfred,NY,4843,Alfred,1022678,New York,NY,"Buffalo, NY",514
54,"Algona, IA",Algona,IA,5328,Algona,1015633,Iowa,IA,"Des Moines-Ames, IA",679
55,"Algonac, MI",Algonac,MI,4540,Algonac,1019118,Michigan,MI,"Detroit, MI",505
56,"Algonquin, IL",Algonquin,IL,30352,Algonquin,1016255,Illinois,IL,"Chicago, IL",602
57,"Alhambra, CA",Alhambra,CA,85953,Alhambra,1013531,California,CA,"Los Angeles, CA",803
58,"Alice, TX",Alice,TX,19797,Alice,1026176,Texas,TX,"Corpus Christi, TX",600
59,"Aliquippa, PA",Aliquippa,PA,10631,Aliquippa,1024619,Pennsylvania,PA,"Pittsburgh, PA",508
60,"Aliso Viejo, CA",Aliso Viejo,CA,41572,Aliso Viejo,1013532,California,CA,"Los Angeles, CA",803
61,"Allegan, MI",Allegan,MI,4816,Allegan,1019119,Michigan,MI,"Grand Rapids-Kalamazoo-Battle Creek, MI",563
62,"Allen Park, MI",Allen Park,MI,26014,Allen Park,1019120,Michigan,MI,"Detroit, MI",505
63,"Allen, TX",Allen,TX,81268,Allen,1026178,Texas,TX,"Dallas-Ft. Worth, TX",623
64,"Allendale, NJ",Allendale,NJ,6599,Allendale,1021997,New Jersey,NJ,"New York, NY",501
65,"Allentown, PA",Allentown,PA,107250,Allentown,1024620,Pennsylvania,PA,"Philadelphia, PA",504
66,"Alliance, NE",Alliance,NE,8109,Alliance,1021593,Nebraska,NE,"Denver, CO",751
67,"Alliance, OH",Alliance,OH,22476,Alliance,1023526,Ohio,OH,"Cleveland-Akron (Canton), OH",510
68,"Allouez, WI",Allouez,WI,14718,Allouez,9051505,Wisconsin,WI,"Green Bay-Appleton, WI",658
69,"Alma, AR",Alma,AR,5104,Alma,1013158,Arkansas,AR,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670
70,"Alma, MI",Alma,MI,9223,Alma,1019122,Michigan,MI,"Flint-Saginaw-Bay City, MI",513
71,"Alpena, MI",Alpena,MI,10465,Alpena,1019124,Michigan,MI,"Alpena, MI",583
72,"Alpharetta, GA",Alpharetta,GA,49903,Alpharetta,1015249,Georgia,GA,"Atlanta, GA",524
73,"Alpine, TX",Alpine,TX,6280,Alpine,1026179,Texas,TX,"Odessa-Midland, TX",633
74,"Alpine, UT",Alpine,UT,9885,Alpine,1026902,Utah,UT,"Salt Lake City, UT",770
75,"Alsip, IL",Alsip,IL,18692,Alsip,1016257,Illinois,IL,"Chicago, IL",602
76,"Altamonte Springs, FL",Altamonte Springs,FL,39947,Altamonte Springs,1014943,Florida,FL,"Orlando-Daytona Beach-Melbourne, FL",534
77,"Alton, IL",Alton,IL,29393,Alton,1016259,Illinois,IL,"St. Louis, MO",609
78,"Altoona, IA",Altoona,IA,13854,Altoona,1015638,Iowa,IA,"Des Moines-Ames, IA",679
79,"Altoona, PA",Altoona,PA,46144,Altoona,1024622,Pennsylvania,PA,"Johnstown-Altoona, PA",574
80,"Altoona, WI",Altoona,WI,6753,Altoona,1027825,Wisconsin,WI,"La Crosse-Eau Claire, WI",702
81,"Altus, OK",Altus,OK,18912,Altus,1024115,Oklahoma,OK,"Wichita Falls, TX & Lawton, OK",627
82,"Alva, OK",Alva,OK,4848,Alva,1024117,Oklahoma,OK,"Oklahoma City, OK",650
83,"Alvin, TX",Alvin,TX,22853,Alvin,1026181,Texas,TX,"Houston, TX",618
84,"Amarillo, TX",Amarillo,TX,187236,Amarillo,1026182,Texas,TX,"Amarillo, TX",634
85,"Ambler, PA",Ambler,PA,6196,Ambler,1024623,Pennsylvania,PA,"Philadelphia, PA",504
86,"Ambridge, PA",Ambridge,PA,7024,Ambridge,1024624,Pennsylvania,PA,"Pittsburgh, PA",508
87,"American Canyon, CA",American Canyon,CA,16315,American Canyon,1013541,California,CA,"San Francisco-Oakland-San Jose, CA",807
88,"American Fork, UT",American Fork,UT,27064,American Fork,1026903,Utah,UT,"Salt Lake City, UT",770
89,"Americus, GA",Americus,GA,16524,Americus,1015250,Georgia,GA,"Columbus, GA",522
90,"Ames, IA",Ames,IA,56510,Ames,1015640,Iowa,IA,"Des Moines-Ames, IA",679
91,"Amherst, OH",Amherst,OH,11724,Amherst,1023529,Ohio,OH,"Cleveland-Akron (Canton), OH",510
92,"Amite City, LA",Amite City,LA,4318,Amite City,1017926,Louisiana,LA,"New Orleans, LA",622
93,"Amityville, NY",Amityville,NY,9920,Amityville,1022685,New York,NY,"New York, NY",501
94,"Amory, MS",Amory,MS,7262,Amory,1020693,Mississippi,MS,"Columbus-Tupelo-West Point, MS",673
95,"Amsterdam, NY",Amsterdam,NY,17533,Amsterdam,1022686,New York,NY,"Albany-Schenectady-Troy, NY",532
96,"Anaconda, MT",Anaconda,MT,8843,Anaconda,1020843,Montana,MT,"Butte-Bozeman, MT",754
97,"Anacortes, WA",Anacortes,WA,16798,Anacortes,1027501,Washington,WA,"Seattle-Tacoma, WA",819
98,"Anadarko, OK",Anadarko,OK,6323,Anadarko,1024118,Oklahoma,OK,"Oklahoma City, OK",650
99,"Anaheim, CA",Anaheim,CA,335288,Anaheim,1013542,California,CA,"Los Angeles, CA",803
100,"Anamosa, IA",Anamosa,IA,5736,Anamosa,1015641,Iowa,IA,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",637
101,"Anchorage, AK",Anchorage,AK,279243,Anchorage,1012873,Alaska,AK,"Anchorage, AK",743
102,"Andalusia, AL",Andalusia,AL,8978,Andalusia,1012937,Alabama,AL,"Montgomery (Selma), AL",698
103,"Anderson, CA",Anderson,CA,10538,Anderson,1013543,California,CA,"Chico-Redding, CA",868
104,"Anderson, IN",Anderson,IN,57282,Anderson,1016981,Indiana,IN,"Indianapolis, IN",527
105,"Anderson, SC",Anderson,SC,27027,Anderson,1025498,South Carolina,SC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
106,"Andover, KS",Andover,KS,10351,Andover,1017392,Kansas,KS,"Wichita-Hutchinson, KS",678
107,"Andover, MN",Andover,MN,30442,Andover,1019686,Minnesota,MN,"Minneapolis-St. Paul, MN",613
108,"Andrews, TX",Andrews,TX,10142,Andrews,1026185,Texas,TX,"Odessa-Midland, TX",633
109,"Angier, NC",Angier,NC,4344,Angier,1020987,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
110,"Angleton, TX",Angleton,TX,18613,Angleton,1026186,Texas,TX,"Houston, TX",618
111,"Angola, IN",Angola,IN,7894,Angola,1016982,Indiana,IN,"Ft. Wayne, IN",509
112,"Ankeny, IA",Ankeny,IA,42287,Ankeny,1015644,Iowa,IA,"Des Moines-Ames, IA",679
113,"Ann Arbor, MI",Ann Arbor,MI,114386,Ann Arbor,1019126,Michigan,MI,"Detroit, MI",505
114,"Anna, IL",Anna,IL,5025,Anna,1016262,Illinois,IL,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",632
115,"Annapolis, MD",Annapolis,MD,36524,Annapolis,1018507,Maryland,MD,"Baltimore, MD",512
116,"Anniston, AL",Anniston,AL,23662,Anniston,1012938,Alabama,AL,"Birmingham, AL",630
117,"Anoka, MN",Anoka,MN,17289,Anoka,1019688,Minnesota,MN,"Minneapolis-St. Paul, MN",613
118,"Ansonia, CT",Ansonia,CT,18503,Ansonia,1014664,Connecticut,CT,"Hartford & New Haven, CT",533
119,"Anthony, TX",Anthony,TX,4344,Anthony,1026189,Texas,TX,"El Paso, TX",765
120,"Antigo, WI",Antigo,WI,7917,Antigo,1027829,Wisconsin,WI,"Wausau-Rhinelander, WI",705
121,"Antioch, CA",Antioch,CA,100219,Antioch,1013548,California,CA,"San Francisco-Oakland-San Jose, CA",807
122,"Antioch, IL",Antioch,IL,13892,Antioch,1016265,Illinois,IL,"Chicago, IL",602
123,"Apache Junction, AZ",Apache Junction,AZ,32776,Apache Junction,1013373,Arizona,AZ,"Phoenix, AZ",753
124,"Apex, NC",Apex,NC,33075,Apex,1020988,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
125,"Apopka, FL",Apopka,FL,37935,Apopka,1014948,Florida,FL,"Orlando-Daytona Beach-Melbourne, FL",534
126,"Apple Valley, CA",Apple Valley,CA,70200,Apple Valley,1013549,California,CA,"Los Angeles, CA",803
127,"Apple Valley, MN",Apple Valley,MN,50004,Apple Valley,9051514,Minnesota,MN,"Minneapolis-St. Paul, MN",613
128,"Appleton, WI",Appleton,WI,70305,Appleton,1027830,Wisconsin,WI,"Green Bay-Appleton, WI",658
129,"Arab, AL",Arab,AL,7924,Arab,1012939,Alabama,AL,"Huntsville-Decatur (Florence), AL",691
130,"Aransas Pass, TX",Aransas Pass,TX,8810,Aransas Pass,1026191,Texas,TX,"Corpus Christi, TX",600
131,"Arcadia, CA",Arcadia,CA,56248,Arcadia,1013552,California,CA,"Los Angeles, CA",803
132,"Arcadia, FL",Arcadia,FL,6771,Arcadia,1014949,Florida,FL,"Ft. Myers-Naples, FL",571
133,"Arcata, CA",Arcata,CA,17044,Arcata,1013553,California,CA,"Eureka, CA",802
134,"Archbald, PA",Archbald,PA,6488,Archbald,1024628,Pennsylvania,PA,"Wilkes Barre-Scranton, PA",577
135,"Archbold, OH",Archbold,OH,4438,Archbold,1023536,Ohio,OH,"Toledo, OH",547
136,"Archdale, NC",Archdale,NC,9332,Archdale,9051517,North Carolina,NC,"Greensboro-High Point-Winston Salem, NC",518
137,"Arden Hills, MN",Arden Hills,MN,9608,Arden Hills,9051518,Minnesota,MN,"Minneapolis-St. Paul, MN",613
138,"Ardmore, OK",Ardmore,OK,24810,Ardmore,1024121,Oklahoma,OK,"Sherman, TX-Ada, OK",657
139,"Ardsley, NY",Ardsley,NY,4840,Ardsley,1022695,New York,NY,"New York, NY",501
140,"Arkadelphia, AR",Arkadelphia,AR,11130,Arkadelphia,1013161,Arkansas,AR,"Little Rock-Pine Bluff, AR",693
141,"Arkansas City, KS",Arkansas City,KS,11070,Arkansas City,1017395,Kansas,KS,"Wichita-Hutchinson, KS",678
142,"Arlington Heights, IL",Arlington Heights,IL,73399,Arlington Heights,1016269,Illinois,IL,"Chicago, IL",602
143,"Arlington, TX",Arlington,TX,374417,Arlington,1026194,Texas,TX,"Dallas-Ft. Worth, TX",623
144,"Arlington, VA",Arlington,VA,209969,Arlington,1027027,Virginia,VA,"Washington, DC (Hagerstown, MD)",511
145,"Arlington, WA",Arlington,WA,16810,Arlington,1027503,Washington,WA,"Seattle-Tacoma, WA",819
146,"Arnold, MO",Arnold,MO,20603,Arnold,1020174,Missouri,MO,"St. Louis, MO",609
147,"Arroyo Grande, CA",Arroyo Grande,CA,17180,Arroyo Grande,1013556,California,CA,"Santa Barbara-Santa Maria-San Luis Obispo, CA",855
148,"Artesia, CA",Artesia,CA,16244,Artesia,1013557,California,CA,"Los Angeles, CA",803
149,"Artesia, NM",Artesia,NM,10994,Artesia,1022500,New Mexico,NM,"Albuquerque-Santa Fe, NM",790
150,"Arvada, CO",Arvada,CO,107361,Arvada,1014434,Colorado,CO,"Denver, CO",751
151,"Arvin, CA",Arvin,CA,15070,Arvin,1013558,California,CA,"Bakersfield, CA",800
152,"Asbury Park, NJ",Asbury Park,NJ,16546,Asbury Park,1022006,New Jersey,NJ,"New York, NY",501
153,"Ashdown, AR",Ashdown,AR,4440,Ashdown,1013164,Arkansas,AR,"Shreveport, LA",612
154,"Asheboro, NC",Asheboro,NC,24609,Asheboro,1020990,North Carolina,NC,"Greensboro-High Point-Winston Salem, NC",518
155,"Asheville, NC",Asheville,NC,74543,Asheville,1020991,North Carolina,NC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
156,"Ashland City, TN",Ashland City,TN,4582,Ashland City,1025914,Tennessee,TN,"Nashville, TN",659
157,"Ashland, KY",Ashland,KY,21346,Ashland,1017684,Kentucky,KY,"Charleston-Huntington, WV",564
158,"Ashland, OH",Ashland,OH,21850,Ashland,1023538,Ohio,OH,"Cleveland-Akron (Canton), OH",510
159,"Ashland, OR",Ashland,OR,21390,Ashland,1024390,Oregon,OR,"Medford-Klamath Falls, OR",813
160,"Ashland, VA",Ashland,VA,7100,Ashland,1027029,Virginia,VA,"Richmond-Petersburg, VA",556
161,"Ashland, WI",Ashland,WI,8118,Ashland,1027836,Wisconsin,WI,"Duluth, MN-Superior, WI",676
162,"Ashtabula, OH",Ashtabula,OH,19689,Ashtabula,1023540,Ohio,OH,"Cleveland-Akron (Canton), OH",510
163,"Ashwaubenon, WI",Ashwaubenon,WI,17235,Ashwaubenon,9051525,Wisconsin,WI,"Green Bay-Appleton, WI",658
164,"Aspen, CO",Aspen,CO,5902,Aspen,1014435,Colorado,CO,"Denver, CO",751
165,"Astoria, OR",Astoria,OR,9851,Astoria,1024391,Oregon,OR,"Portland, OR",820
166,"Atascadero, CA",Atascadero,CA,28452,Atascadero,1013559,California,CA,"Santa Barbara-Santa Maria-San Luis Obispo, CA",855
167,"Atchison, KS",Atchison,KS,10402,Atchison,1017398,Kansas,KS,"Kansas City, MO",616
168,"Athens, AL",Athens,AL,23715,Athens,1012944,Alabama,AL,"Huntsville-Decatur (Florence), AL",691
169,"Athens, GA",Athens,GA,113398,Athens,1015253,Georgia,GA,"Atlanta, GA",524
170,"Athens, OH",Athens,OH,22088,Athens,1023542,Ohio,OH,"Columbus, OH",535
171,"Athens, TN",Athens,TN,14275,Athens,1025915,Tennessee,TN,"Chattanooga, TN",575
172,"Athens, TX",Athens,TX,12320,Athens,1026198,Texas,TX,"Dallas-Ft. Worth, TX",623
173,"Atherton, CA",Atherton,CA,7406,Atherton,1013560,California,CA,"San Francisco-Oakland-San Jose, CA",807
174,"Atlanta, GA",Atlanta,GA,537958,Atlanta,1015254,Georgia,GA,"Atlanta, GA",524
175,"Atlanta, TX",Atlanta,TX,5475,Atlanta,1026199,Texas,TX,"Shreveport, LA",612
176,"Atlantic Beach, FL",Atlantic Beach,FL,13147,Atlantic Beach,1014950,Florida,FL,"Jacksonville, FL",561
177,"Atlantic City, NJ",Atlantic City,NJ,39408,Atlantic City,1022008,New Jersey,NJ,"Philadelphia, PA",504
178,"Atlantic Highlands, NJ",Atlantic Highlands,NJ,4602,Atlantic Highlands,1022009,New Jersey,NJ,"New York, NY",501
179,"Atlantic, IA",Atlantic,IA,6777,Atlantic,1015650,Iowa,IA,"Omaha, NE",652
180,"Atmore, AL",Atmore,AL,7428,Atmore,1012945,Alabama,AL,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
181,"Atoka, TN",Atoka,TN,7334,Atoka,9051529,Tennessee,TN,"Memphis, TN",640
182,"Attalla, AL",Attalla,AL,6540,Attalla,1012946,Alabama,AL,"Birmingham, AL",630
183,"Attleboro, MA",Attleboro,MA,42833,Attleboro,1018104,Massachusetts,MA,"Providence, RI-New Bedford, MA",521
184,"Atwater, CA",Atwater,CA,26565,Atwater,1013561,California,CA,"Fresno-Visalia, CA",866
185,"Auburn Hills, MI",Auburn Hills,MI,20931,Auburn Hills,1019133,Michigan,MI,"Detroit, MI",505
186,"Auburn, AL",Auburn,AL,56088,Auburn,1012947,Alabama,AL,"Columbus, GA",522
187,"Auburn, CA",Auburn,CA,13219,Auburn,1013563,California,CA,"Sacramento-Stockton-Modesto, CA",862
188,"Auburn, GA",Auburn,GA,7496,Auburn,1015255,Georgia,GA,"Atlanta, GA",524
189,"Auburn, IL",Auburn,IL,4362,Auburn,1016278,Illinois,IL,"Champaign & Springfield-Decatur,IL",648
190,"Auburn, IN",Auburn,IN,13026,Auburn,1016987,Indiana,IN,"Ft. Wayne, IN",509
191,"Auburn, ME",Auburn,ME,23177,Auburn,1018760,Maine,ME,"Portland-Auburn, ME",500
192,"Auburn, NY",Auburn,NY,27138,Auburn,1022702,New York,NY,"Syracuse, NY",555
193,"Auburn, WA",Auburn,WA,55426,Auburn,1027505,Washington,WA,"Seattle-Tacoma, WA",819
194,"Auburndale, FL",Auburndale,FL,14353,Auburndale,1014951,Florida,FL,"Tampa-St Petersburg (Sarasota), FL",539
195,"Audubon, NJ",Audubon,NJ,8883,Audubon,1022010,New Jersey,NJ,"Philadelphia, PA",504
196,"Augusta, GA",Augusta,GA,194149,Augusta,1015256,Georgia,GA,"Augusta, GA",520
197,"Augusta, KS",Augusta,KS,8693,Augusta,1017400,Kansas,KS,"Wichita-Hutchinson, KS",678
198,"Augusta, ME",Augusta,ME,18282,Augusta,1018761,Maine,ME,"Portland-Auburn, ME",500
199,"Aurora, CO",Aurora,CO,319057,Aurora,1014437,Colorado,CO,"Denver, CO",751
200,"Aurora, IL",Aurora,IL,171782,Aurora,1016280,Illinois,IL,"Chicago, IL",602
201,"Aurora, MO",Aurora,MO,7478,Aurora,1020178,Missouri,MO,"Springfield, MO",619
202,"Aurora, OH",Aurora,OH,14548,Aurora,1023544,Ohio,OH,"Cleveland-Akron (Canton), OH",510
203,"Austell, GA",Austell,GA,7062,Austell,1015257,Georgia,GA,"Atlanta, GA",524
204,"Austin, IN",Austin,IN,4603,Austin,1016989,Indiana,IN,"Louisville, KY",529
205,"Austin, MN",Austin,MN,22800,Austin,1019697,Minnesota,MN,"Rochester, MN-Mason City, IA-Austin, MN",611
206,"Austin, TX",Austin,TX,757688,Austin,1026201,Texas,TX,"Austin, TX",635
207,"Avenal, CA",Avenal,CA,17147,Avenal,1013565,California,CA,"Fresno-Visalia, CA",866
208,"Aventura, FL",Aventura,FL,29254,Aventura,9051532,Florida,FL,"Miami-Ft. Lauderdale, FL",528
209,"Avon Lake, OH",Avon Lake,OH,23996,Avon Lake,1023547,Ohio,OH,"Cleveland-Akron (Canton), OH",510
210,"Avon Park, FL",Avon Park,FL,9033,Avon Park,1014952,Florida,FL,"Tampa-St Petersburg (Sarasota), FL",539
211,"Avon, CO",Avon,CO,6578,Avon,1014439,Colorado,CO,"Denver, CO",751
212,"Avon, IN",Avon,IN,12238,Avon,1016991,Indiana,IN,"Indianapolis, IN",527
213,"Avon, OH",Avon,OH,17086,Avon,1023546,Ohio,OH,"Cleveland-Akron (Canton), OH",510
214,"Avondale, AZ",Avondale,AZ,81299,Avondale,1013376,Arizona,AZ,"Phoenix, AZ",753
215,"Azle, TX",Azle,TX,11347,Azle,1026204,Texas,TX,"Dallas-Ft. Worth, TX",623
216,"Aztec, NM",Aztec,NM,6927,Aztec,1022501,New Mexico,NM,"Albuquerque-Santa Fe, NM",790
217,"Azusa, CA",Azusa,CA,46847,Azusa,1013567,California,CA,"Los Angeles, CA",803
218,"Babylon, NY",Babylon,NY,12760,Babylon,1022708,New York,NY,"New York, NY",501
219,"Bainbridge Island, WA",Bainbridge Island,WA,21890,Bainbridge Island,1027506,Washington,WA,"Seattle-Tacoma, WA",819
220,"Bainbridge, GA",Bainbridge,GA,12337,Bainbridge,1015259,Georgia,GA,"Tallahassee, FL-Thomasville, GA",530
221,"Baker City, OR",Baker City,OR,9413,Baker City,1024395,Oregon,OR,"Portland, OR",820
222,"Baker, LA",Baker,LA,13360,Baker,1017930,Louisiana,LA,"Baton Rouge, LA",716
223,"Bakersfield, CA",Bakersfield,CA,321078,Bakersfield,1013570,California,CA,"Bakersfield, CA",800
224,"Balch Springs, TX",Balch Springs,TX,20003,Balch Springs,9051542,Texas,TX,"Dallas-Ft. Worth, TX",623
225,"Baldwin City, KS",Baldwin City,KS,4308,Baldwin City,1017403,Kansas,KS,"Kansas City, MO",616
226,"Baldwin Park, CA",Baldwin Park,CA,77380,Baldwin Park,1013571,California,CA,"Los Angeles, CA",803
227,"Baldwin, PA",Baldwin,PA,18562,Baldwin,9051543,Pennsylvania,PA,"Pittsburgh, PA",508
228,"Baldwinsville, NY",Baldwinsville,NY,7247,Baldwinsville,1022711,New York,NY,"Syracuse, NY",555
229,"Ballston Spa, NY",Ballston Spa,NY,5464,Ballston Spa,1022713,New York,NY,"Albany-Schenectady-Troy, NY",532
230,"Ballwin, MO",Ballwin,MO,30033,Ballwin,1020183,Missouri,MO,"St. Louis, MO",609
231,"Baltimore, MD",Baltimore,MD,636919,Baltimore,1018511,Maryland,MD,"Baltimore, MD",512
232,"Bangor, ME",Bangor,ME,31756,Bangor,1018764,Maine,ME,"Bangor, ME",537
233,"Bangor, PA",Bangor,PA,5256,Bangor,1024641,Pennsylvania,PA,"Philadelphia, PA",504
234,"Banning, CA",Banning,CA,28917,Banning,1013573,California,CA,"Los Angeles, CA",803
235,"Baraboo, WI",Baraboo,WI,11244,Baraboo,1027845,Wisconsin,WI,"Madison, WI",669
236,"Barberton, OH",Barberton,OH,26581,Barberton,1023550,Ohio,OH,"Cleveland-Akron (Canton), OH",510
237,"Bardstown, KY",Bardstown,KY,11242,Bardstown,1017688,Kentucky,KY,"Louisville, KY",529
238,"Barling, AR",Barling,AR,4471,Barling,1013167,Arkansas,AR,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670
239,"Barnesville, GA",Barnesville,GA,5998,Barnesville,1015261,Georgia,GA,"Atlanta, GA",524
240,"Barnwell, SC",Barnwell,SC,4783,Barnwell,1025503,South Carolina,SC,"Augusta, GA",520
241,"Barre, VT",Barre,VT,8837,Barre,1027353,Vermont,VT,"Burlington, VT-Plattsburgh, NY",523
242,"Barrington, IL",Barrington,IL,10374,Barrington,1016283,Illinois,IL,"Chicago, IL",602
243,"Barrington, NJ",Barrington,NJ,6939,Barrington,1022016,New Jersey,NJ,"Philadelphia, PA",504
244,"Barstow, CA",Barstow,CA,24596,Barstow,1013574,California,CA,"Los Angeles, CA",803
245,"Bartlesville, OK",Bartlesville,OK,35914,Bartlesville,1024126,Oklahoma,OK,"Tulsa, OK",671
246,"Bartlett, IL",Bartlett,IL,42209,Bartlett,1016286,Illinois,IL,"Chicago, IL",602
247,"Bartlett, TN",Bartlett,TN,47501,Bartlett,9051550,Tennessee,TN,"Memphis, TN",640
