"","DMA","scores","sd","count","Region","date"
"77",582,0.07,0.8,9,"Lafayette, IN",2015-06-23 21:22:27
"78",584,-0.09,1.18,19,"Charlottesville, VA",2015-06-23 21:22:27
"79",588,0.15,0.57,75,"South Bend-Elkhart, IN",2015-06-23 21:22:27
"80",592,0.12,0.54,16,"Gainesville, FL",2015-06-23 21:22:27
"81",596,0,NA,1,"Zanesville, OH",2015-06-23 21:22:27
"82",597,0.02,0.66,14,"Parkersburg, WV",2015-06-23 21:22:27
"83",598,0.13,0.3,5,"Clarksburg-Weston, WV",2015-06-23 21:22:27
"84",600,0.02,0.7,146,"Corpus Christi, TX",2015-06-23 21:22:27
"85",602,0.05,0.71,1184,"Chicago, IL",2015-06-23 21:22:27
"86",603,0.08,0.41,28,"Joplin, MO-Pittsburg, KS",2015-06-23 21:22:27
"87",604,0.2,0.65,5,"Columbia-Jefferson City, MO",2015-06-23 21:22:27
"88",605,-0.04,0.76,16,"Topeka, KS",2015-06-23 21:22:27
"89",606,0.1,0.27,20,"Dothan, AL",2015-06-23 21:22:27
"90",609,-0.09,0.77,111,"St. Louis, MO",2015-06-23 21:22:27
"91",610,0.01,0.84,38,"Rockford, IL",2015-06-23 21:22:27
"92",611,-0.1,0.9,31,"Rochester, MN-Mason City, IA-Austin, MN",2015-06-23 21:22:27
"93",612,0.06,0.62,92,"Shreveport, LA",2015-06-23 21:22:27
"94",613,0.01,0.84,292,"Minneapolis-St. Paul, MN",2015-06-23 21:22:27
"95",616,0.08,0.85,227,"Kansas City, MO",2015-06-23 21:22:27
"96",617,0.05,0.83,260,"Milwaukee, WI",2015-06-23 21:22:27
"97",618,-0.01,0.76,1422,"Houston, TX",2015-06-23 21:22:27
"98",619,0.17,0.54,24,"Springfield, MO",2015-06-23 21:22:27
"99",622,0.01,0.58,421,"New Orleans, LA",2015-06-23 21:22:27
"100",623,0.02,0.68,1846,"Dallas-Ft. Worth, TX",2015-06-23 21:22:27
"101",624,-0.03,0.77,31,"Sioux City, IA",2015-06-23 21:22:27
"102",625,0.03,0.56,131,"Waco-Temple-Bryan, TX",2015-06-23 21:22:27
"103",626,-0.08,0.6,17,"Victoria, TX",2015-06-23 21:22:27
"104",627,0.19,0.63,31,"Wichita Falls, TX & Lawton, OK",2015-06-23 21:22:27
"105",628,-0.29,0.81,49,"Monroe, LA-El Dorado, AR",2015-06-23 21:22:27
"106",630,0.13,0.63,104,"Birmingham, AL",2015-06-23 21:22:27
"107",631,0,0,2,"Ottumwa, IA-Kirksville, MO",2015-06-23 21:22:27
"108",632,0.25,0.69,43,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",2015-06-23 21:22:27
"109",633,0.01,0.58,32,"Odessa-Midland, TX",2015-06-23 21:22:27
"110",634,0.12,0.77,35,"Amarillo, TX",2015-06-23 21:22:27
"111",635,0.02,0.59,324,"Austin, TX",2015-06-23 21:22:27
"112",636,0.05,0.54,187,"Harlingen-Weslaco-Brownsville-McAllen, TX",2015-06-23 21:22:27
"113",637,0.05,0.84,44,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",2015-06-23 21:22:27
"114",638,0,NA,1,"St. Joseph, MO",2015-06-23 21:22:27
"115",639,-0.02,1.13,17,"Jackson, TN",2015-06-23 21:22:27
"116",640,0,0.72,200,"Memphis, TN",2015-06-23 21:22:27
"117",641,-0.02,0.68,645,"San Antonio, TX",2015-06-23 21:22:27
"118",642,0.09,0.71,74,"Lafayette, LA",2015-06-23 21:22:27
"119",643,-0.02,0.57,32,"Lake Charles, LA",2015-06-23 21:22:27
"120",644,-0.17,0.81,12,"Alexandria, LA",2015-06-23 21:22:27
"121",647,0.5,0.71,2,"Greenwood-Greenville, MS",2015-06-23 21:22:27
"122",648,-0.12,0.75,64,"Champaign & Springfield-Decatur,IL",2015-06-23 21:22:27
"123",649,0.09,0.71,42,"Evansville, IN",2015-06-23 21:22:27
"124",650,0.05,0.74,251,"Oklahoma City, OK",2015-06-23 21:22:27
"125",651,0.04,0.92,60,"Lubbock, TX",2015-06-23 21:22:27
"126",652,-0.02,0.65,155,"Omaha, NE",2015-06-23 21:22:27
"127",656,0.61,0.7,19,"Panama City, FL",2015-06-23 21:22:27
"128",657,0.01,0.77,24,"Sherman, TX-Ada, OK",2015-06-23 21:22:27
"129",658,0.14,0.7,38,"Green Bay-Appleton, WI",2015-06-23 21:22:27
"130",659,0.04,0.69,293,"Nashville, TN",2015-06-23 21:22:27
"131",661,-0.15,0.97,13,"San Angelo, TX",2015-06-23 21:22:27
"132",662,0.17,0.8,28,"Abilene-Sweetwater, TX",2015-06-23 21:22:27
"133",669,0.17,0.69,32,"Madison, WI",2015-06-23 21:22:27
"134",670,0.13,0.95,30,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",2015-06-23 21:22:27
"135",671,0.18,0.78,110,"Tulsa, OK",2015-06-23 21:22:27
"136",673,-0.1,0.45,10,"Columbus-Tupelo-West Point, MS",2015-06-23 21:22:27
"137",675,-0.15,0.57,29,"Peoria-Bloomington, IL",2015-06-23 21:22:27
"138",676,-0.06,0.87,11,"Duluth, MN-Superior, WI",2015-06-23 21:22:27
"139",678,0.08,0.6,112,"Wichita-Hutchinson, KS",2015-06-23 21:22:27
"140",679,0.07,0.69,92,"Des Moines-Ames, IA",2015-06-23 21:22:27
"141",682,0.02,0.67,89,"Davenport,IA-Rock Island-Moline,IL",2015-06-23 21:22:27
"142",686,0.11,0.6,70,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",2015-06-23 21:22:27
"143",687,-0.27,0.6,5,"Minot-Bismarck-Dickinson(Williston), ND",2015-06-23 21:22:27
"144",691,0.09,0.72,46,"Huntsville-Decatur (Florence), AL",2015-06-23 21:22:27
"145",692,0.04,0.6,87,"Beaumont-Port Arthur, TX",2015-06-23 21:22:27
"146",693,0.01,0.48,84,"Little Rock-Pine Bluff, AR",2015-06-23 21:22:27
"147",698,-0.12,0.58,55,"Montgomery (Selma), AL",2015-06-23 21:22:27
"148",702,0.39,0.54,17,"La Crosse-Eau Claire, WI",2015-06-23 21:22:27
"149",705,-0.33,0.58,3,"Wausau-Rhinelander, WI",2015-06-23 21:22:27
"150",709,-0.01,0.57,81,"Tyler-Longview(Lufkin & Nacogdoches), TX",2015-06-23 21:22:27
"151",710,0,0.31,10,"Hattiesburg-Laurel, MS",2015-06-23 21:22:27
"152",711,-0.24,1.03,7,"Meridian, MS",2015-06-23 21:22:27
"153",716,-0.09,0.81,166,"Baton Rouge, LA",2015-06-23 21:22:27
"154",717,0.25,0.39,8,"Quincy, IL-Hannibal, MO-Keokuk, IA",2015-06-23 21:22:27
"155",718,0,0.61,148,"Jackson, MS",2015-06-23 21:22:27
"156",722,0.26,0.5,34,"Lincoln & Hastings-Kearney, NE",2015-06-23 21:22:27
"157",724,0.08,0.59,29,"Fargo-Valley City, ND",2015-06-23 21:22:27
"158",725,0.07,0.3,14,"Sioux Falls(Mitchell), SD",2015-06-23 21:22:27
"159",734,0.04,0.79,8,"Jonesboro, AR",2015-06-23 21:22:27
"160",736,0.13,0.32,10,"Bowling Green, KY",2015-06-23 21:22:27
"161",737,-0.04,0.28,8,"Mankato, MN",2015-06-23 21:22:27
"162",740,-1,NA,1,"North Platte, NE",2015-06-23 21:22:27
"163",746,0.03,0.66,26,"Biloxi-Gulfport, MS",2015-06-23 21:22:27
"164",749,0.2,1.5,18,"Laredo, TX",2015-06-23 21:22:27
"165",751,0.06,0.75,228,"Denver, CO",2015-06-23 21:22:27
"166",752,-0.03,0.6,61,"Colorado Springs-Pueblo, CO",2015-06-23 21:22:27
"167",753,0.05,0.7,581,"Phoenix, AZ",2015-06-23 21:22:27
"168",754,1,1.41,2,"Butte-Bozeman, MT",2015-06-23 21:22:27
"169",755,-0.27,0.72,5,"Great Falls, MT",2015-06-23 21:22:27
"170",756,0.62,0.49,7,"Billings, MT",2015-06-23 21:22:27
"171",757,0.12,0.76,39,"Boise, ID",2015-06-23 21:22:27
"172",758,0.2,0.38,18,"Idaho Falls-Pocatello, ID",2015-06-23 21:22:27
