"","DMA","scores","sd","count","Region","date"
"69",659,-0.29,1.8,7,"Nashville, TN","Tue Jun 30 23:12:50 2015"
"70",661,0,NA,1,"San Angelo, TX","Tue Jun 30 23:12:50 2015"
"71",662,0,NA,1,"Abilene-Sweetwater, TX","Tue Jun 30 23:12:50 2015"
"72",669,3,NA,1,"Madison, WI","Tue Jun 30 23:12:50 2015"
"73",671,0,0,4,"Tulsa, OK","Tue Jun 30 23:12:50 2015"
"74",673,2,NA,1,"Columbus-Tupelo-West Point, MS","Tue Jun 30 23:12:50 2015"
"75",678,0,0,3,"Wichita-Hutchinson, KS","Tue Jun 30 23:12:50 2015"
"76",682,0,0,2,"Davenport,IA-Rock Island-Moline,IL","Tue Jun 30 23:12:50 2015"
"77",686,1,1.41,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL","Tue Jun 30 23:12:50 2015"
"78",692,-7,NA,1,"Beaumont-Port Arthur, TX","Tue Jun 30 23:12:50 2015"
"79",693,-1,5.57,3,"Little Rock-Pine Bluff, AR","Tue Jun 30 23:12:50 2015"
"80",698,0,0,2,"Montgomery (Selma), AL","Tue Jun 30 23:12:50 2015"
"81",716,1.67,3.51,3,"Baton Rouge, LA","Tue Jun 30 23:12:50 2015"
"82",718,-1.5,4.95,2,"Jackson, MS","Tue Jun 30 23:12:50 2015"
"83",722,3,NA,1,"Lincoln & Hastings-Kearney, NE","Tue Jun 30 23:12:50 2015"
"84",749,-5,NA,1,"Laredo, TX","Tue Jun 30 23:12:50 2015"
"85",751,-0.4,3.58,5,"Denver, CO","Tue Jun 30 23:12:50 2015"
"86",753,-0.09,1.7,23,"Phoenix, AZ","Tue Jun 30 23:12:50 2015"
"87",757,0,NA,1,"Boise, ID","Tue Jun 30 23:12:50 2015"
"88",765,-1.5,2.12,2,"El Paso, TX","Tue Jun 30 23:12:50 2015"
"89",770,0,1.7,10,"Salt Lake City, UT","Tue Jun 30 23:12:50 2015"
"90",771,1.33,2.42,6,"Yuma, AZ-El Centro, CA","Tue Jun 30 23:12:50 2015"
"91",789,-0.86,1.57,7,"Tucson (Sierra Vista), AZ","Tue Jun 30 23:12:50 2015"
"92",790,1,1.73,3,"Albuquerque-Santa Fe, NM","Tue Jun 30 23:12:50 2015"
"93",800,1,3.37,7,"Bakersfield, CA","Tue Jun 30 23:12:50 2015"
"94",801,2,NA,1,"Eugene, OR","Tue Jun 30 23:12:50 2015"
"95",803,-0.21,1.79,102,"Los Angeles, CA","Tue Jun 30 23:12:50 2015"
"96",804,0.33,0.58,3,"Palm Springs, CA","Tue Jun 30 23:12:50 2015"
"97",807,-0.47,1.61,19,"San Francisco-Oakland-San Jose, CA","Tue Jun 30 23:12:50 2015"
"98",810,1,NA,1,"Yakima-Pasco-Richland-Kennewick, WA","Tue Jun 30 23:12:50 2015"
"99",811,3,NA,1,"Reno, NV","Tue Jun 30 23:12:50 2015"
"100",813,0,NA,1,"Medford-Klamath Falls, OR","Tue Jun 30 23:12:50 2015"
"101",819,0.5,1.74,14,"Seattle-Tacoma, WA","Tue Jun 30 23:12:50 2015"
"102",820,0.18,1.17,11,"Portland, OR","Tue Jun 30 23:12:50 2015"
"103",825,1.7,3.16,10,"San Diego, CA","Tue Jun 30 23:12:50 2015"
"104",828,-2,1.41,4,"Monterey-Salinas, CA","Tue Jun 30 23:12:50 2015"
"105",839,-1.62,5.55,8,"Las Vegas, NV","Tue Jun 30 23:12:50 2015"
"106",855,-0.5,0.71,2,"Santa Barbara-Santa Maria-San Luis Obispo, CA","Tue Jun 30 23:12:50 2015"
"107",862,-0.07,2.62,14,"Sacramento-Stockton-Modesto, CA","Tue Jun 30 23:12:50 2015"
"108",866,0.64,1.96,11,"Fresno-Visalia, CA","Tue Jun 30 23:12:50 2015"
"109",868,1,1.73,3,"Chico-Redding, CA","Tue Jun 30 23:12:50 2015"
"110",881,0,NA,1,"Spokane, WA","Tue Jun 30 23:12:50 2015"
"","DMA","scores","sd","count","Region","date"
"1",501,-1,1.41,2,"New York, NY","Tue Jun 30 23:15:36 2015"
"2",504,0,0,2,"Philadelphia, PA","Tue Jun 30 23:15:36 2015"
"3",508,0,NA,1,"Pittsburgh, PA","Tue Jun 30 23:15:36 2015"
"4",510,3,NA,1,"Cleveland-Akron (Canton), OH","Tue Jun 30 23:15:36 2015"
"5",511,1,1.41,2,"Washington, DC (Hagerstown, MD)","Tue Jun 30 23:15:36 2015"
"6",520,2,NA,1,"Augusta, GA","Tue Jun 30 23:15:36 2015"
"7",528,3,4.24,2,"Miami-Ft. Lauderdale, FL","Tue Jun 30 23:15:36 2015"
"8",534,0,NA,1,"Orlando-Daytona Beach-Melbourne, FL","Tue Jun 30 23:15:36 2015"
"9",535,0,0,2,"Columbus, OH","Tue Jun 30 23:15:36 2015"
"10",542,0,NA,1,"Dayton, OH","Tue Jun 30 23:15:36 2015"
"11",544,1,1.41,2,"Norfolk-Portsmouth-Newport News,VA","Tue Jun 30 23:15:36 2015"
"12",564,0,NA,1,"Charleston-Huntington, WV","Tue Jun 30 23:15:36 2015"
"13",581,0,NA,1,"Terre Haute, IN","Tue Jun 30 23:15:36 2015"
"14",602,0,0,2,"Chicago, IL","Tue Jun 30 23:15:36 2015"
"15",609,0,NA,1,"St. Louis, MO","Tue Jun 30 23:15:36 2015"
"16",617,0,NA,1,"Milwaukee, WI","Tue Jun 30 23:15:36 2015"
"17",618,0,0,2,"Houston, TX","Tue Jun 30 23:15:36 2015"
"18",623,1.33,3.21,3,"Dallas-Ft. Worth, TX","Tue Jun 30 23:15:36 2015"
"19",630,4,NA,1,"Birmingham, AL","Tue Jun 30 23:15:36 2015"
"20",632,0,NA,1,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL","Tue Jun 30 23:15:36 2015"
"21",636,3,NA,1,"Harlingen-Weslaco-Brownsville-McAllen, TX","Tue Jun 30 23:15:36 2015"
"22",640,0,NA,1,"Memphis, TN","Tue Jun 30 23:15:36 2015"
"23",686,0,0,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL","Tue Jun 30 23:15:36 2015"
"24",693,2,NA,1,"Little Rock-Pine Bluff, AR","Tue Jun 30 23:15:36 2015"
"25",709,0,NA,1,"Tyler-Longview(Lufkin & Nacogdoches), TX","Tue Jun 30 23:15:36 2015"
"26",718,0,NA,1,"Jackson, MS","Tue Jun 30 23:15:36 2015"
"27",751,2,NA,1,"Denver, CO","Tue Jun 30 23:15:36 2015"
"28",753,3.5,0.71,2,"Phoenix, AZ","Tue Jun 30 23:15:36 2015"
"29",770,1,NA,1,"Salt Lake City, UT","Tue Jun 30 23:15:36 2015"
"30",789,-1,NA,1,"Tucson (Sierra Vista), AZ","Tue Jun 30 23:15:36 2015"
"31",802,0,NA,1,"Eureka, CA","Tue Jun 30 23:15:36 2015"
